城市,啟始時間,結束時間,最高溫度,最底溫度,感覺
臺北市,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,30,29,悶熱
新北市,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,30,29,悶熱
桃園市,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,31,29,悶熱
臺中市,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,31,29,悶熱
臺南市,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,30,29,悶熱
高雄市,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,30,29,悶熱
基隆市,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,29,28,悶熱
新竹縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,32,30,悶熱
新竹市,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,32,30,悶熱
苗栗縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,32,30,悶熱
彰化縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,31,29,悶熱
南投縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,30,28,舒適至悶熱
雲林縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,30,28,悶熱
嘉義縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,30,29,悶熱
嘉義市,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,30,27,舒適至悶熱
屏東縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,28,27,舒適至悶熱
宜蘭縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,29,28,悶熱
花蓮縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,29,28,悶熱
臺東縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,29,28,舒適至悶熱
澎湖縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,31,28,悶熱
金門縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,33,29,悶熱
連江縣,2023-09-03T12:00:00+08:00,2023-09-03T18:00:00+08:00,29,27,悶熱
